Moeda,Data Entrada,Data Saída,Entrada,Saída,Lucro (%),RSI,EMA_diff,MACD_diff,Volume_relativo,BB_position
SOL/USDT,2025-04-06 18:00:00,2025-04-07 05:00:00,107.628,101.953,-5.27,16.068414226160215,-0.0661483519839206,-1.045729177632975,4.012297749788109,-0.2262776926602945
SOL/USDT,2025-04-07 06:00:00,2025-04-07 14:00:00,97.135,107.484,10.65,16.526416082720417,-0.0797548871970918,-0.7627860187131397,2.477560356262205,-0.0132456168857947
SOL/USDT,2025-04-07 15:00:00,2025-04-09 17:00:00,106.655,119.35,11.9,50.97888658921063,0.023913649178401,1.198883030810892,1.0262151153314658,0.7377277830211446
SOL/USDT,2025-04-09 18:00:00,2025-04-10 15:00:00,117.666,109.589,-6.86,71.60233416901697,0.0778019436514588,1.418905079068115,2.0262741028431224,1.1562396527012977
SOL/USDT,2025-04-11 03:00:00,2025-04-12 13:00:00,115.415,128.594,11.42,61.076852336061954,0.0188892820757343,0.2671992761823096,1.0777229389052454,0.8931006230527406
SOL/USDT,2025-04-12 14:00:00,2025-04-22 14:00:00,130.615,144.176,10.38,83.3210177757181,0.0460301450240607,0.5539557886426913,1.7341327554055048,1.171330034562426
SOL/USDT,2025-04-22 15:00:00,2025-05-08 15:00:00,145.32,160.231,10.26,74.51654216711458,0.0293808023365909,0.6766216734318732,1.63021147888412,1.0964934395919754
BTC/USDT,2025-03-04 17:00:00,2025-03-09 22:00:00,85437.2,80347.9,-5.96,50.97675796686346,0.0152437084419017,305.8114087794868,1.3724619715501731,0.8108872559630781
BTC/USDT,2025-03-10 09:00:00,2025-03-10 18:00:00,82503.2,77647.0,-5.89,46.43613913376209,0.0028042908259658,177.3026247747474,2.239149919122036,0.6060526037275047
BTC/USDT,2025-04-04 07:00:00,2025-04-06 18:00:00,83999.3,79078.3,-5.86,60.405096843901816,0.0122644130108159,201.5426738456597,2.580497311674657,1.109790209892173
BTC/USDT,2025-04-06 19:00:00,2025-04-07 06:00:00,79632.5,74807.1,-6.06,23.54010116964882,-0.025525663540925,-377.5719899587013,1.865473724116946,-0.0895488833969609
BTC/USDT,2025-04-07 12:00:00,2025-04-12 18:00:00,77328.6,85177.4,10.15,41.39465647134284,0.0001472972472722,113.1590432881219,1.2723719169934182,0.4303413879732857
BTC/USDT,2025-04-12 20:00:00,2025-04-23 07:00:00,85515.5,94136.9,10.08,71.10288798374094,0.0120955286122317,81.00520964822329,1.104255420228932,0.9706893847861102
BTC/USDT,2025-04-07 06:00:00,2025-04-09 19:00:00,74807.1,82322.9,10.05,16.781461374959534,-0.0447020627993957,-343.3871307287045,1.8850436641099144,-0.0281472758343062
ETH/USDT,2025-03-03 18:00:00,2025-03-04 01:00:00,2193.43,2056.54,-6.24,28.377831013526414,-0.054747825907144,-24.74381149553044,1.8886069553343408,-0.058403844308024
ETH/USDT,2025-03-04 17:00:00,2025-03-09 22:00:00,2118.64,2010.02,-5.13,46.68689477800858,0.0096848389256305,9.710308920153487,1.5596825287077054,0.7135212246749089
ETH/USDT,2025-03-10 09:00:00,2025-03-10 17:00:00,2101.85,1917.5,-8.77,55.02084192170711,0.0160400466130581,9.822376695893604,2.5708839576555667,0.9186849664947077
ETH/USDT,2025-03-10 18:00:00,2025-03-19 11:00:00,1825.05,2028.14,11.13,18.875372776222804,-0.0931661319755387,-20.657762757675588,2.1020343420600183,-0.3040040457849745
ETH/USDT,2025-03-19 12:00:00,2025-03-28 11:00:00,2003.97,1900.57,-5.16,69.39547575405803,0.0246300657885481,8.660633266633383,1.4047110435091246,0.9985710113900892
ETH/USDT,2025-04-04 08:00:00,2025-04-06 16:00:00,1828.26,1731.31,-5.3,57.04616496319646,0.0134209863641241,5.467053245942188,1.5679374588690869,0.980286377370717
